"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Личный кабинет администратора ресторана","Столики и QR-коды","","2","0","13","0","0"
"Личный кабинет администратора ресторана","Меню","","0","0","28","0","0"
"RKeeper","Частичная оплата","Частичная оплата - -чай +сбор","0","0","8","0","0"
"RKeeper","Добавление и удаление позиций из заказа","Добавление позиции, полная оплата","0","0","6","0","0"
"RKeeper","Полная оплата","Оплата по кнопке 'Оплатить' - -чай -сбор","0","0","7","0","0"
"RKeeper","Чаевые","Проверка логики установки дефолтных чаевых от суммы заказа, ввод кастомных чаевых, ошибки суммы","3","0","11","0","0"
"Личный кабинет администратора ресторана","Интеграции","","0","0","2","0","0"
"RKeeper","Добавление и удаление позиций из заказа","Добавление позиции после частичной оплаты","0","0","10","0","0"
"RKeeper","Добавление и удаление позиций из заказа","Удаление позиции после частичной оплаты","0","0","10","0","0"
"Личный кабинет администратора ресторана","Авторизация","","9","0","13","0","0"
"RKeeper","Официант","Официант не верифицирован, без привязанной карты, частичная оплата  +СБ","1","0","7","0","0"
"Личный кабинет администратора ресторана","Личный кабинет официанта","","1","0","19","0","0"
"Личный кабинет администратора ресторана","Кастомизация","","0","0","5","0","0"
"Личный кабинет администратора ресторана","Профиль","","0","0","5","0","0"
"E2E - тесты (полные)","Общая функциональность таппера","","2","0","18","0","0"
"RKeeper","Частичная оплата","Частичная оплата - -чай -сбор","0","0","8","0","0"
"RKeeper","Официант","Официант не верифицирован, без привязанной карты, полная оплата - СБ","0","1","6","0","0"
"E2E - тесты (полные)","keeper - открытие стола у двух гостей, второй гость выбирает и отменяет позиции, у первого не должно быть заблокировано для оплаты","","0","0","8","0","0"
"RKeeper","Полная оплата","Оплата по кнопке 'Оплатить' - -чай +сбор","0","0","7","0","0"
"RKeeper","Модификаторы","Платные модификаторы - частичная оплата","1","1","6","0","0"
"RKeeper","Добавление и удаление позиций из заказа","Добавление позиции, частичная оплата","1","0","9","0","0"
"RKeeper","Официант","Официант верифицирован, без привязанной карты, частичная оплата  +СБ","1","0","7","0","0"
"RKeeper","Частичная оплата","Частичная оплата - +чай -сбор","0","0","8","0","0"
"RKeeper","Чаевые","Проверка логики установки дефолтных чаевых от суммы заказа с двумя гостями","3","0","4","0","0"
"RKeeper","Сокеты","Выбор позиций в раздельной оплате на 1-м устройстве, позиции в статусе “Оплачивается” на 2-м устройстве","4","0","2","0","0"
"RKeeper","Сокеты","Полная оплата на 1-м устройстве, позиции в статусе 'Оплачиваются', 'Оплачено' на 2-м устройстве","1","0","8","0","0"
"RKeeper","Полная оплата","Выбор всех позиций - +чай +сбор","0","0","7","0","0"
"Личный кабинет администратора ресторана","Реквизиты компании","","0","0","2","0","0"
"RKeeper","Официант","Официант верифицирован, без привязанной карты, частичная оплата  -СБ","1","0","7","0","0"
"E2E - тесты (полные)","keeper - проверка что установленные чаевые у одного юзера не сбросятся если другой юзер будет выбирать позиции","","1","2","9","0","0"
"RKeeper","Сокеты","Частичная оплата на 1-м устройстве, позиции в статусе 'Оплачиваются', 'Оплачено' на 2-м устройстве","4","0","8","0","0"
"RKeeper","Полная оплата","Комплекс оплат для проверки на странице истории операций в админке","2","0","8","0","0"
"RKeeper","Полная оплата","Оплата по кнопке 'Оплатить' - +чай -сбор","0","0","7","0","0"
"RKeeper","Модификаторы","Платные модификаторы - полная оплата","1","1","5","0","0"
"RKeeper","Частичная оплата","Частичная оплата - +чай +сбор","0","0","8","0","0"
"RKeeper","Полная оплата","Оплата по кнопке 'Оплатить' - +чай +сбор","0","0","7","0","0"
"RKeeper","Официант","Официант верифицирован, без привязанной карты, полная оплата + СБ","3","2","2","0","0"
"RKeeper","Официант","Официант не верифицирован, без привязанной карты, полная оплата + СБ","0","1","6","0","0"
"RKeeper","Добавление и удаление позиций из заказа","Удаление позиции, полная оплата","0","0","5","0","0"
"RKeeper","Добавление и удаление позиций из заказа","Удаление позиции, частичная оплата","0","0","10","0","0"
"E2E - тесты (полные)","tapper - переход на пустой стол, создание заказа на кассе, появление заказа в таппере","","0","0","5","0","0"
"RKeeper","Добавление и удаление позиций из заказа","Добавление и удаление позиции после в одном заказе","0","1","7","0","0"
"RKeeper","Официант","Официант не верифицирован, без привязанной карты, частичная оплата  -СБ","1","0","7","0","0"
"Личный кабинет администратора ресторана","История операций","","0","0","7","0","0"
"RKeeper","Официант","Официант верифицирован, без привязанной карты, полная оплата -СБ","3","2","2","0","0"
"RKeeper","Частичная оплата","Частичная оплата в несколько платежей до конца - +чай +сбор","0","0","7","0","0"
